QueueType,Threads,OperationsPerThread,Time(ms)
SimpleBlockingQueue,1,1000,27
LockFreeQueue,1,1000,2
SimpleBlockingQueue,1,10000,8
LockFreeQueue,1,10000,3
SimpleBlockingQueue,1,100000,31
LockFreeQueue,1,100000,10
SimpleBlockingQueue,2,1000,2
LockFreeQueue,2,1000,3
SimpleBlockingQueue,2,10000,5
LockFreeQueue,2,10000,14
SimpleBlockingQueue,2,100000,55
LockFreeQueue,2,100000,36
SimpleBlockingQueue,4,1000,4
LockFreeQueue,4,1000,1
SimpleBlockingQueue,4,10000,12
LockFreeQueue,4,10000,6
SimpleBlockingQueue,4,100000,28
LockFreeQueue,4,100000,67
SimpleBlockingQueue,8,1000,6
LockFreeQueue,8,1000,1
SimpleBlockingQueue,8,10000,8
LockFreeQueue,8,10000,21
SimpleBlockingQueue,8,100000,50
LockFreeQueue,8,100000,287
SimpleBlockingQueue,16,1000,4
LockFreeQueue,16,1000,3
SimpleBlockingQueue,16,10000,11
LockFreeQueue,16,10000,43
SimpleBlockingQueue,16,100000,88
LockFreeQueue,16,100000,541